BX = 000 Event : 1
0x05 0111001|1010000 0x1CD0
0x06 0111010|0001001 0x1D09
0x07 0111010|1010000 0x1D50
0x08 0111011|0001001 0x1D89
BX = 000 Event : 25
0x00 0000111|0010101 0x0395
0x01 0111010|0000010 0x1D02
0x02 0111010|1000111 0x1D47
0x03 0111011|0001010 0x1D8A
0x04 0111100|0001010 0x1E0A
0x05 0111101|0001010 0x1E8A
0x06 1000011|0110000 0x21B0
BX = 001 Event : 26
0x00 0001001|0001101 0x048D
0x01 0101110|0101101 0x172D
BX = 010 Event : 27
0x00 0001000|0001001 0x0409
0x01 0110011|0011110 0x199E
BX = 011 Event : 28
0x00 0110011|0101010 0x19AA
0x01 0110011|0101011 0x19AB
0x02 1000001|0101010 0x20AA
0x03 1000001|0101011 0x20AB
0x04 1000011|0101010 0x21AA
0x05 1000011|0101011 0x21AB
0x06 1000011|0110010 0x21B2
0x07 1000101|0110010 0x22B2
0x08 1000101|0110100 0x22B4
0x09 1000101|0110101 0x22B5
0x0a 1000101|0110110 0x22B6
0x0b 1000101|0111000 0x22B8
0x0c 1000110|0110010 0x2332
0x0d 1000110|0110100 0x2334
0x0e 1000110|0110101 0x2335
0x0f 1000110|0110110 0x2336
0x10 1000110|0111000 0x2338
BX = 100 Event : 29
0x00 0100101|0000110 0x1286
0x01 0100101|0110010 0x12B2
0x02 0100110|0000110 0x1306
0x03 0100110|0110010 0x1332
BX = 101 Event : 30
0x00 0010111|0011100 0x0B9C
0x01 0010111|0011101 0x0B9D
0x02 0100011|0000101 0x1185
BX = 110 Event : 31
0x00 0101100|0000001 0x1601
0x01 0101100|0000010 0x1602
0x02 0101101|0000001 0x1681
0x03 0101101|0000010 0x1682
BX = 111 Event : 32
0x00 0000001|0010111 0x0097
0x01 0000001|0011010 0x009A
0x02 0000010|0010111 0x0117
0x03 0000010|0011010 0x011A
0x04 0011100|0001000 0x0E08
BX = 000 Event : 33
0x00 0000001|0010000 0x0090
0x01 0011011|0000001 0x0D81
0x02 0011011|0000010 0x0D82
0x03 0011011|0110011 0x0DB3
0x04 0011101|0000001 0x0E81
0x05 0011101|0000010 0x0E82
0x06 0011101|0110011 0x0EB3
0x07 0011110|0000001 0x0F01
0x08 0011110|0000010 0x0F02
0x09 0011110|0110011 0x0F33
0x0a 0100101|0100001 0x12A1
0x0b 0100101|0100011 0x12A3
BX = 001 Event : 34
0x00 0001000|0010111 0x0417
0x01 0101010|0110011 0x1533
0x02 0101010|0110110 0x1536
0x03 0101010|0111100 0x153C
0x04 0101011|0110011 0x15B3
0x05 0101011|0110110 0x15B6
0x06 0101011|0111010 0x15BA
0x07 0101011|0111100 0x15BC
0x08 0101100|0110011 0x1633
0x09 0101100|0110110 0x1636
0x0a 0101100|0111010 0x163A
0x0b 0101100|0111100 0x163C
0x0c 0101101|0110110 0x16B6
0x0d 0101101|0111010 0x16BA
0x0e 0101101|0111100 0x16BC
0x0f 0101110|0111100 0x173C
0x10 0101111|0110011 0x17B3
0x11 0101111|0110110 0x17B6
0x12 0101111|0111010 0x17BA
0x13 0101111|0111100 0x17BC
0x14 0110000|0111010 0x183A
0x15 0110000|0111100 0x183C
BX = 010 Event : 35
0x00 0110110|0011000 0x1B18
BX = 011 Event : 36
0x00 0100101|0110011 0x12B3
0x01 0100101|0001001 0x1289
0x02 0101011|0111110 0x15BE
0x03 0101011|0111111 0x15BF
0x04 0101011|1000001 0x15C1
0x05 0101011|0001110 0x158E
0x06 0110000|0100011 0x1823
0x07 0110000|0100101 0x1825
0x08 0110001|0101101 0x18AD
0x09 0110010|0101101 0x192D
BX = 100 Event : 37
0x00 0000010|0110110 0x0136
0x01 0000011|0110110 0x01B6
0x02 0000011|0111010 0x01BA
0x03 0000100|0110110 0x0236
0x04 0000100|0111010 0x023A
0x05 0100110|0110110 0x1336
0x06 0100110|0111010 0x133A
BX = 101 Event : 38
0x00 0101011|0000000 0x1580
0x01 0101011|0110100 0x15B4
0x02 0101100|0000000 0x1600
0x03 0101100|0110100 0x1634
0x04 0110100|0000000 0x1A00
0x05 0110100|0110100 0x1A34
BX = 110 Event : 39
0x00 0000101|0000111 0x0287
0x01 0101110|0000111 0x1707
BX = 111 Event : 40
0x00 0100110|0000001 0x1301
BX = 000 Event : 41
0x00 0010111|0010011 0x0B93
BX = 001 Event : 42
0x00 0001110|0100001 0x0721
0x01 0001110|0100011 0x0723
0x02 0010111|0100001 0x0BA1
0x03 0010111|0100011 0x0BA3
0x04 0101001|0000000 0x1480
0x05 0101001|0000101 0x1485
0x06 0101001|1000001 0x14C1
0x07 0101001|1000010 0x14C2
BX = 010 Event : 43
0x00 0000001|0111001 0x00B9
0x01 0110101|0111001 0x1AB9
0x02 0110110|0111001 0x1B39
0x03 0110111|0111001 0x1BB9
0x04 0111000|0111001 0x1C39
0x05 0111000|0111011 0x1C3B
BX = 011 Event : 44
BX = 100 Event : 45
0x00 0000110|0001011 0x030B
0x01 0000110|0001110 0x030E
0x02 0010001|0011001 0x0899
0x03 0010010|0011001 0x0919
0x04 0010010|0011100 0x091C
0x05 1001001|0001011 0x248B
0x06 1001001|0001110 0x248E
0x07 1001001|1010100 0x24D4
0x08 1001001|1010110 0x24D6
0x09 1001011|0001011 0x258B
0x0a 1001011|0001110 0x258E
0x0b 1001011|1010100 0x25D4
0x0c 1001011|1010110 0x25D6
0x0d 1001111|0001011 0x278B
0x0e 1001111|0001110 0x278E
0x0f 1001111|1010100 0x27D4
0x10 1001111|1010110 0x27D6
0x11 1010011|0001011 0x298B
0x12 1010011|0001110 0x298E
0x13 1010011|1011001 0x29D9
BX = 101 Event : 46
0x00 0000111|0100000 0x03A0
0x01 0100100|0000110 0x1206
0x02 0100110|1000110 0x1346
0x03 0100110|1000111 0x1347
0x04 0101001|0110100 0x14B4
BX = 110 Event : 47
0x00 0110101|0100011 0x1AA3
0x01 0110101|0100100 0x1AA4
BX = 111 Event : 48
0x00 0110100|1000011 0x1A43
0x01 0110100|1000100 0x1A44
0x02 0110110|0001001 0x1B09
0x03 0110110|0001010 0x1B0A
0x04 0111000|0101100 0x1C2C
BX = 000 Event : 49
0x00 0101001|0000011 0x1483
BX = 001 Event : 50
0x00 0010111|0000111 0x0B87
BX = 010 Event : 51
0x00 0001011|0010110 0x0596
0x01 0111111|0101000 0x1FA8
BX = 011 Event : 52
BX = 100 Event : 53
0x00 0001101|0011111 0x069F
0x01 0001101|0100000 0x06A0
0x02 0001101|0100001 0x06A1
0x03 0001111|0100110 0x07A6
0x04 0101010|0000100 0x1504
0x05 0101010|0000110 0x1506
0x06 0101010|0010000 0x1510
0x07 0101010|0111011 0x153B
0x08 0101011|0000100 0x1584
0x09 0101011|0000110 0x1586
0x0a 0101011|0010000 0x1590
0x0b 0101011|0111011 0x15BB
0x0c 0101111|0110101 0x17B5
0x0d 0101111|0110110 0x17B6
BX = 101 Event : 54
0x00 0001001|0011011 0x049B
0x01 0001001|0011101 0x049D
0x02 0100101|0110100 0x12B4
0x03 0100101|0110101 0x12B5
0x04 0100101|0000000 0x1280
0x05 0100101|0110110 0x12B6
0x06 0100101|0110111 0x12B7
0x07 0100110|0000000 0x1300
0x08 0100110|0110110 0x1336
0x09 0100110|0110111 0x1337
0x0a 0101001|0110111 0x14B7
0x0b 0101011|0001000 0x1588
0x0c 0101011|0001011 0x158B
0x0d 0110000|0110100 0x1834
0x0e 0110000|0110101 0x1835
0x0f 0110000|0000000 0x1800
BX = 110 Event : 55
0x00 0000101|0010011 0x0293
0x01 0000101|0010111 0x0297
0x02 0000101|0011000 0x0298
0x03 0000101|0011001 0x0299
BX = 111 Event : 56
0x00 0000001|0101101 0x00AD
0x01 0000001|0101110 0x00AE
BX = 000 Event : 57
0x00 0000000|0111110 0x003E
0x01 0000000|0111111 0x003F
0x02 0000000|0000011 0x0003
0x03 0000000|0000111 0x0007
0x04 0101111|0110100 0x17B4
0x05 0111000|0001010 0x1C0A
0x06 0111000|0001111 0x1C0F
0x07 0111000|1001100 0x1C4C
0x08 0111010|0001111 0x1D0F
0x09 0111010|1001100 0x1D4C
0x0a 0111011|0001111 0x1D8F
0x0b 0111011|1001100 0x1DCC
0x0c 0111111|0110100 0x1FB4
BX = 001 Event : 58
0x00 0001011|0010111 0x0597
0x01 0010000|0100101 0x0825
0x02 0110001|0000000 0x1880
0x03 0110001|0000001 0x1881
0x04 0110001|1001001 0x18C9
0x05 0111000|0111001 0x1C39
0x06 0111001|0111001 0x1CB9
BX = 010 Event : 59
0x00 0000100|0100010 0x0222
0x01 0101101|0101111 0x16AF
0x02 0101110|0101111 0x172F
0x03 0101111|0101111 0x17AF
BX = 011 Event : 60
0x00 0000110|0001000 0x0308
0x01 0111101|0000000 0x1E80
0x02 1000101|0110100 0x22B4
0x03 1000101|0110101 0x22B5
BX = 100 Event : 61
0x00 0000010|0110010 0x0132
0x01 0101100|0110010 0x1632
0x02 0110010|0101101 0x192D
BX = 101 Event : 62
0x00 0001011|0010010 0x0592
0x01 0001011|0010100 0x0594
0x02 0001011|1000110 0x05C6
0x03 0001011|1000111 0x05C7
0x04 0001100|0001111 0x060F
0x05 0001100|0010010 0x0612
0x06 0001100|0010100 0x0614
0x07 0001100|1000110 0x0646
0x08 0001100|1000111 0x0647
0x09 0010000|0010110 0x0816
0x0a 0010001|0010110 0x0896
0x0b 0010001|0011110 0x089E
0x0c 0010010|0011110 0x091E
0x0d 0011011|0010110 0x0D96
0x0e 0110011|0111011 0x19BB
0x0f 0110100|0111011 0x1A3B
0x10 0111100|0000100 0x1E04
0x11 0111100|0010010 0x1E12
0x12 0111100|1000110 0x1E46
