BX = 000 Event : 1
0x00 1111000|111100011001|00100110000110|100 0xF1E324C34
0x01 0000000|111101111010|00100110100101|000 0x01EF44D28
0x02 0000000|111101111111|00100101100011|101 0x01EFE4B1D
0x03 1110101|111110011010|00110010110001|000 0xEBF346588
0x04 1111000|000011001110|00100110101111|001 0xF019C4D79
0x05 1110011|000100000000|00111010101110|100 0xE62007574
0x06 1111000|000100110110|00100101000101|100 0xF026C4A2C
0x07 1111001|000110000011|00101000011010|000 0xF230650D0
0x08 1110100|000110001000|00101001111000|100 0xE831053C4
0x09 1110111|000111011010|00100001011011|010 0xEE3B442DA
0x0a 1110110|000111011101|00101010110010|101 0xEC3BA5595
0x0b 0001100|001000010111|00100001111000|101 0x1842E43C5
0x0c 1110011|001000101000|00101100111101|110 0xE645059EE
0x0d 1100011|001100001010|00100100001001|000 0xC66144848
0x0e 1101001|010000011101|00100010101111|101 0xD283A457D
0x0f 1111000|001010011101|00110110001101|010 0xF053A6C6A
0x10 1101111|001010100010|00110111100001|001 0xDE5446F09
0x11 0100001|001011111100|00110101011010|101 0x425F86AD5
0x12 1110111|001100010110|00100111000110|101 0xEE62C4E35
0x13 0010000|001110010011|00111110111100|001 0x207267DE1
0x14 1110000|010000101011|00110101101110|100 0xE08566B74
0x15 1100100|010011101001|00110101011100|101 0xC89D26AE5
0x16 1110110|010111000011|00110000001000|100 0xECB866044
0x17 1101111|010111000100|00111100000110|100 0xDEB887834
0x18 1101100|010111000101|00111011111101|100 0xD8B8A77EC
0x19 1101000|010111000111|00100110000101|001 0xD0B8E4C29
0x1a 0011010|011010111111|00101010010101|000 0x34D7E54A8
0x1b 1111110|011011000111|00101111000001|000 0xFCD8E5E08
0x1c 0011010|011111101110|00110011100001|000 0x34FDC6708
0x1d 1101010|101000111001|00100110100100|001 0xD54724D21
0x1e 0011100|101001001001|00111111010001|100 0x394927E8C
0x1f 0001010|101100100010|00111010011110|100 0x1564474F4
0x20 0001101|101100100011|00110101100101|000 0x1B6466B28
0x21 0011011|101100100111|00110110011101|001 0x3764E6CE9
0x22 0101001|101111100101|00111100110101|100 0x537CA79AC
0x23 0100010|110001110111|00111100001000|101 0x458EE7845
0x24 1101011|110011100110|00111110001101|100 0xD79CC7C6C
0x25 0000001|110101101000|00110001110011|101 0x03AD0639D
0x26 0011011|110101110111|00110101010000|010 0x37AEE6A82
0x27 1111110|110111001011|00111001101111|000 0xFDB967378
0x28 0001111|111000011100|00101111001011|100 0x1FC385E5C
0x29 0010001|111000011110|00101111010101|100 0x23C3C5EAC
0x2a 0010100|111000100000|00101010010001|010 0x29C40548A
0x2b 0011100|111000101100|00111100011001|100 0x39C5878CC
0x2c 0000001|111001100111|00110010001110|001 0x03CCE6471
0x2d 0010010|111001110111|00110010001010|001 0x25CEE6451
0x2e 0011001|111001111110|00110010000111|101 0x33CFC643D
0x2f 0000110|111010111011|00111111100100|010 0x0DD767F22
0x30 0001010|111010111110|00111111000000|100 0x15D7C7E04
0x31 1010000|111100011110|00110000100000|001 0xA1E3C6101
0x32 1010000|111100100000|00110000100000|001 0xA1E406101
0x33 1010101|111101110111|00100101011100|101 0xABEEE4AE5
0x34 1010101|111110001110|00100100101110|101 0xABF1C4975
0x35 1001110|000001000011|00101001001000|101 0x9C0865245
0x36 1001101|000001000011|00100001111010|101 0x9A08643D5
0x37 1010001|000001011111|00110010001000|000 0xA20BE6440
0x38 1010100|000001110010|00100000110110|101 0xA80E441B5
0x39 1010100|000001110010|00100001011001|101 0xA80E442CD
0x3a 1010001|000010110111|00110010110110|101 0xA216E65B5
0x3b 1001110|000011000110|00100111001100|101 0x9C18C4E65
0x3c 1001110|000011001110|00101001101011|100 0x9C19C535C
0x3d 1001101|000011100111|00100011011010|101 0x9A1CE46D5
0x3e 1010000|000011110100|00110000001011|001 0xA01E86059
0x3f 0001011|100101001110|00100001010100|001 0x1729C42A1
0x40 1100101|101001001001|00100110000111|101 0xCB4924C3D
0x41 1100010|101100100111|00100100111111|000 0xC564E49F8
0x42 0011010|101100110111|00100011110010|000 0x3566E4790
0x43 1110101|101111100111|00100001011010|100 0xEB7CE42D4
0x44 0100101|110010001101|00100011010001|100 0x4B91A468C
0x45 0000101|110111100100|00100111011101|001 0x0BBC84EE9
0x46 0000010|111010000110|00100101111100|010 0x05D0C4BE2
0x47 0100011|111010100101|00100110010000|100 0x47D4A4C84
BX = 001 Event : 2
0x00 1110101|111110010111|00110010100111|001 0xEBF2E6539
0x01 1110101|111110110101|00110010100100|001 0xEBF6A6521
0x02 1111011|111111100001|00111011001100|001 0xF7FC27661
0x03 1111100|000000001110|00110110100000|010 0xF801C6D02
0x04 1111100|000000010101|00110111101100|101 0xF802A6F65
0x05 1110101|000001011010|00110010001101|001 0xEA0B46469
0x06 1110101|000001011111|00110010011010|101 0xEA0BE64D5
0x07 1110101|000001101110|00110100000101|001 0xEA0DC6829
0x08 1110101|000001101110|00110010100111|000 0xEA0DC6538
0x09 1110011|000011111110|00111010011011|001 0xE61FC74D9
0x0a 0011010|000110111011|00100100011001|101 0x3437648CD
0x0b 1111100|000111010110|00100101011111|010 0xF83AC4AFA
0x0c 1111110|001010000101|00100100110110|010 0xFC50A49B2
0x0d 1111100|001010000110|00100110001000|001 0xF850C4C41
0x0e 0001010|001110000010|00100010011100|101 0x1470444E5
0x0f 1011010|010000100001|00100000010101|001 0xB484240A9
0x10 1011100|010110111010|00101010101111|001 0xB8B745579
0x11 0000000|011111100101|00100110011101|100 0x00FCA4CEC
0x12 0101011|000100100110|00101101011101|010 0x5624C5AEA
0x13 0100110|000100101000|00111100000101|001 0x4C2507829
0x14 0101110|000101101110|00110111111101|101 0x5C2DC6FED
0x15 0010110|000110000100|00110111101110|110 0x2C3086F76
0x16 0001101|000110001110|00101110010110|010 0x1A31C5CB2
0x17 0001110|000111100111|00100110011111|010 0x1C3CE4CFA
0x18 1111001|001010011110|00101001110011|010 0xF253C539A
0x19 0011011|001011111110|00111110110000|010 0x365FC7D82
0x1a 0010011|001100000101|00110011001001|100 0x2660A664C
0x1b 0001110|001100000110|00111111000101|101 0x1C60C7E2D
0x1c 1101110|001100011010|00110001011001|110 0xDC63462CE
0x1d 1101110|001100011010|00110001101101|000 0xDC6346368
0x1e 0101011|001110000101|00110010111100|001 0x5670A65E1
0x1f 1110101|001110100011|00110110111010|000 0xEA7466DD0
0x20 1111000|010011100011|00111011111100|001 0xF09C677E1
0x21 1101000|010011101000|00111001010111|001 0xD09D072B9
0x22 1101000|010011101000|00111001100100|100 0xD09D07324
0x23 1110011|010111000011|00110000111111|100 0xE6B8661FC
0x24 0001100|011011000010|00111010011011|000 0x18D8474D8
0x25 0011001|011111101110|00110101010101|100 0x32FDC6AAC
0x26 1100001|011111111110|00111001101110|100 0xC2FFC7374
0x27 1110100|100000000110|00100101011010|000 0xE900C4AD0
0x28 1110101|100000000111|00101001010001|001 0xEB00E5289
0x29 1111001|100000000111|00100110110101|000 0xF300E4DA8
0x2a 0000000|100000001001|00100100111101|000 0x0101249E8
0x2b 0100001|100000010100|00110010111110|001 0x4302865F1
0x2c 1110011|101000111101|00111110001101|000 0xE747A7C68
0x2d 0000101|101001000010|00111001011001|001 0x0B48472C9
0x2e 1100100|101100011000|00111111011010|101 0xC96307ED5
0x2f 1100110|101111010010|00111000001100|101 0xCD7A47065
0x30 0100000|110001110110|00111011101111|100 0x418EC777C
0x31 1110110|110011101011|00110011000001|010 0xED9D6660A
0x32 1111111|110011101111|00101010010000|010 0xFF9DE5482
0x33 0110000|111010010000|00101010111110|101 0x61D2055F5
0x34 0010101|111011000101|00101101000110|101 0x2BD8A5A35
0x35 0100110|111011010110|00110100001000|101 0x4DDAC6845
0x36 0100111|111011011000|00110100010000|101 0x4FDB06885
0x37 0110000|111011100001|00110101100000|010 0x61DC26B02
0x38 1001110|111110011111|00101001010110|100 0x9DF3E52B4
0x39 1001110|111110101001|00100110011110|010 0x9DF524CF2
0x3a 1010001|111110111011|00110001110011|000 0xA3F766398
0x3b 1010111|111111100110|00101101101010|100 0xAFFCC5B54
0x3c 1010101|111111110111|00100100001111|000 0xABFEE4878
0x3d 1010101|111111111111|00100100001000|001 0xABFFE4841
0x3e 1010110|111111111111|00100110110110|001 0xADFFE4DB1
0x3f 1110001|100000010110|00100101100010|000 0xE302C4B10
0x40 1111101|100000011010|00100101000110|001 0xFB0344A31
0x41 0100011|100101010101|00100000110100|001 0x472AA41A1
0x42 0011100|101111110010|00100100011101|001 0x397E448E9
0x43 0100100|110100011011|00100010001011|001 0x49A364459
0x44 1101101|110101110011|00100000110001|001 0xDBAE64189
0x45 0011101|110110001101|00100111101010|001 0x3BB1A4F51
0x46 1111010|111000101000|00100100110100|101 0xF5C5049A5
0x47 0001000|111000110100|00100110100011|110 0x11C684D1E
0x48 0001001|111000110110|00100110001111|101 0x13C6C4C7D
0x49 0011110|111010011111|00100110001100|101 0x3DD3E4C65
BX = 010 Event : 3
0x00 1111100|111110000110|00110100111010|101 0xF9F0C69D5
0x01 1110100|111110011100|00110101010011|101 0xE9F386A9D
0x02 1110110|111110110101|00101100100101|101 0xEDF6A592D
0x03 1111100|000001111010|00110100101010|010 0xF80F46952
0x04 1111001|000100110110|00100111110100|001 0xF226C4FA1
0x05 0011011|001011101010|00100001100101|101 0x365D4432D
0x06 1101011|001100000111|00101010001011|010 0xD660E545A
0x07 0011001|010011001010|00101001010111|100 0x3299452BC
0x08 1011101|011111101111|00100010000011|000 0xBAFDE4418
0x09 0100000|000101111010|00111111000100|010 0x402F47E22
0x0a 0011110|000101111100|00111110111110|010 0x3C2F87DF2
0x0b 0010101|001000100111|00111110010110|010 0x2A44E7CB2
0x0c 0000010|010000100110|00111100001100|101 0x0484C7865
0x0d 1111110|010000100111|00110110011110|101 0xFC84E6CF5
0x0e 0000000|010011100001|00101111010001|100 0x009C25E8C
0x0f 1110011|010011100100|00111111000001|100 0xE69C87E0C
0x10 0101100|011010111010|00101110000010|000 0x58D745C10
0x11 1111011|100100111001|00101110100011|100 0xF72725D1C
0x12 0001010|100100111101|00101110001101|000 0x1527A5C68
0x13 0100101|101001001011|00101100001011|001 0x4B4965859
0x14 1100101|101100010110|00100101100110|001 0xCB62C4B31
0x15 1101111|101111010101|00111100110100|001 0xDF7AA79A1
0x16 0011110|101111100010|00110100001110|100 0x3D7C46874
0x17 0101000|101111100101|00110101000001|101 0x517CA6A0D
0x18 1111111|110011110001|00111011110000|010 0xFF9E27782
0x19 0000010|111001100111|00101111110101|110 0x05CCE5FAE
0x1a 0001101|111001110101|00111110000010|110 0x1BCEA7C16
0x1b 1010111|111101011110|00101011011101|000 0xAFEBC56E8
0x1c 1010000|111110110000|00101110101000|100 0xA1F605D44
0x1d 1010000|111110110101|00101110100001|101 0xA1F6A5D0D
0x1e 1010111|000010100100|00101100100101|001 0xAE1485929
0x1f 1001111|000011101010|00101011111100|000 0x9E1D457E0
0x20 1001111|000011111110|00101100110001|001 0x9E1FC5989
0x21 1001111|000100000000|00101100101101|001 0x9E2005969
0x22 0001000|101001010011|00101010011011|101 0x114A654DD
0x23 0000110|101001010011|00100010101011|000 0x0D4A64558
0x24 0100100|101111110100|00100110100001|101 0x497E84D0D
0x25 1101001|110001101010|00101010100100|101 0xD38D45525
0x26 1111101|110001110111|00100011101010|101 0xFB8EE4755
0x27 0100000|111001001100|00100001110110|010 0x41C9843B2
BX = 011 Event : 4
0x00 1110011|111100000111|00111111000011|100 0xE7E0E7E1C
0x01 1110011|111100100000|00111110010110|001 0xE7E407CB1
0x02 1110101|111110011111|00110000110011|100 0xEBF3E619C
