BX = 000 Event : 1
0x00 0000011|0001000|01011010011101|001110000101|1111010110|111010001  0x0310B4E9C2FADD1
0x01 0000011|0001001|01001110110110|001100001010|0000001001|111010010  0x03129DB185013D2
BX = 001 Event : 2
0x00 0000011|0000010|01000010011001|001100111001|1111001101|000101111  0x030484C99CF9A2F
0x01 0000011|0000110|01000010011101|001100110110|1111001101|000101110  0x030C84E99B79A2E
0x02 0000011|0001100|01011000101011|001011010101|0000100000|000101100  0x0318B1596A8402C
BX = 010 Event : 3
0x00 0000011|0000010|01011110010100|011010101000|0000111100|001011110  0x0304BCA3540785E
0x01 0000011|0000101|01010010010111|001011111101|1111011101|111010110  0x030AA4B97EFBBD6
BX = 011 Event : 4
0x00 0000011|0010101|01010011010010|010010011101|1111101100|110111010  0x032AA6924EFD9BA
0x01 0000011|0101010|01011010111111|010100110110|1111110010|110101101  0x0354B5FA9B7E5AD
0x02 0000011|0101110|01111001100001|011000101011|0001100101|001011011  0x035CF30B158CA5B
0x03 0000011|0101111|01101000000000|001111100100|0001000000|000111010  0x035ED001F20803A
BX = 100 Event : 5
0x00 0000011|0001010|01010101001101|011000111111|1111100011|110101011  0x0314AA6B1FFC7AB
0x01 0000011|0001011|01100101001111|001111010001|1110110011|111000111  0x0316CA79E8F67C7
0x02 0000011|0001100|01100100101110|001111010001|1110110101|111000111  0x0318C971E8F6BC7
0x03 0000011|0010101|01100001101101|001110111001|1111000100|111001011  0x032AC369DCF89CB
0x04 0000011|0010110|01100000111111|001110110111|1111000111|111001011  0x032CC1F9DBF8FCB
0x05 0000011|0010111|01011000111101|010011101101|1111110110|110110100  0x032EB1EA76FEDB4
0x06 0000011|0011000|01011110001000|010101100110|1111100110|110101001  0x0330BC42B37CDA9
0x07 0000011|0011010|01011101101000|001010111010|0000011000|000100101  0x0334BB415D03025
0x08 0000011|0011011|01011011001000|001010110100|0000001110|000100100  0x0336B6415A01C24
BX = 101 Event : 6
0x00 0000011|0000011|01010001101100|010111011010|1111100101|110110001  0x0306A362ED7CBB1
0x01 0000011|0000101|01001101101110|001010011110|0000000110|000100011  0x030A9B714F00C23
0x02 0000011|0000110|01001011010110|001100011010|0000000011|111001110  0x030C96B18D007CE
0x03 0000011|0000111|01001100100110|001110011111|1111110101|000110010  0x030E9931CFFEA32
0x04 0000011|0001000|01001000001011|001011111100|0000100001|111010111  0x031090597E043D7
BX = 110 Event : 7
0x00 0000011|0000010|01000101111100|011001001100|1111110101|001100010  0x03048BE3267EA62
0x01 0000011|0000101|01100010001010|010011101000|1111000100|110110110  0x030AC45274789B6
0x02 0000011|0001001|01001000011100|001010100000|1111011100|000100011  0x031290E1507B823
BX = 111 Event : 8
BX = 000 Event : 9
0x00 0000011|0001101|01101011010100|011010000000|0001100001|001100110  0x031AD6A3400C266
0x01 0000011|0001110|01011010001111|010011110101|0000110101|001000110  0x031CB47A7A86A46
0x02 0000011|0001111|01110000101101|011011111010|0001110011|001110011  0x031EE16B7D0E673
