BX = 000 Event : 1
0x00 1111010|111010011100|00101111001100|001 0xF5D385E61
0x01 1111110|111011111110|00011101110010|100 0xFDDFC3B94
0x02 0000011|111101101100|00110011101001|001 0x07ED86749
0x03 0000101|111101101111|00100011011111|001 0x0BEDE46F9
0x04 0000101|111101110001|00100010110001|101 0x0BEE2458D
0x05 0000110|111101111001|00100010001011|010 0x0DEF2445A
0x06 0000111|111110000101|00011011101000|100 0x0FF0A3744
0x07 1111011|000001010101|00100111001100|010 0xF60AA4E62
0x08 0000110|000001111000|00100010000001|000 0x0C0F04408
0x09 0000110|000010000010|00011111011001|010 0x0C1043ECA
0x0a 0000011|000010110111|00111111111010|000 0x0616E7FD0
0x0b 0000011|000100011000|00110001101100|001 0x062306361
0x0c 0000011|000100110001|00111010011000|100 0x0626274C4
0x0d 1111010|000101100100|00111101100111|010 0xF42C87B3A
0x0e 1111010|000101111000|00111011101111|010 0xF42F0777A
0x0f 1111010|000110000101|00111010001110|001 0xF430A7471
0x10 1111010|000110000101|00111000111010|010 0xF430A71D2
0x11 0010110|001000001111|00001101110110|011 0x2C41E1BB3
0x12 1111101|001011100100|00010111011111|101 0xFA5C82EFD
0x13 0000010|010001100001|00111000100101|100 0x048C2712C
0x14 1110101|010011011011|00000001010000|101 0xEA9B60285
0x15 1101010|010011100010|00011101111111|010 0xD49C43BFA
0x16 0101001|010011011000|00100011100011|010 0x529B0471A
0x17 0010110|010011100000|00100010100001|001 0x2C9C04509
0x18 1101001|010011110010|00011101101011|000 0xD29E43B58
0x19 1100011|010011110011|00110111011111|010 0xC69E66EFA
0x1a 1101010|010110000101|00011101111010|010 0xD4B0A3BD2
0x1b 1100101|010110000110|00010001010110|000 0xCAB0C22B0
0x1c 1101011|010110010100|00011110100100|010 0xD6B283D22
0x1d 1101001|010110010101|00011110100000|001 0xD2B2A3D01
0x1e 1011100|011001000000|00010010111111|101 0xB8C8025FD
0x1f 0000010|011001000000|00101010011100|010 0x04C8054E2
0x20 1101011|011001001011|00011100110101|101 0xD6C9639AD
0x21 1101010|011001001011|00100011111101|110 0xD4C9647EE
0x22 0010011|011011110111|00001110011111|100 0x26DEE1CFC
0x23 0011011|011111010111|00000111001000|100 0x36FAE0E44
0x24 1111101|011111100100|00010101101001|001 0xFAFC82B49
0x25 1011001|011111110010|00010000111000|101 0xB2FE421C5
0x26 1110101|100000011010|00000011001011|101 0xEB034065D
0x27 1111000|100000001010|00111100111000|010 0xF101479C2
0x28 0000101|100000001110|00011110000010|010 0x0B01C3C12
0x29 0011101|100100001100|00011011011000|101 0x3B21836C5
0x2a 1100101|100011100111|00111001010011|100 0xCB1CE729C
0x2b 1111100|101100010111|00110101011011|101 0xF962E6ADD
0x2c 0010000|101100011110|00100001101010|100 0x2163C4354
0x2d 1110010|101110010011|00111110101100|101 0xE57267D65
0x2e 0010001|110001000001|00011010100100|001 0x238823521
0x2f 0000000|110000100010|00100101111111|101 0x018444BFD
0x30 0000110|110000101000|00111000010001|101 0x0D850708D
0x31 1101100|110010001110|00100101100011|001 0xD991C4B19
0x32 0010111|110010101110|00111111100100|000 0x2F95C7F20
0x33 0010010|110110001011|00010000100111|101 0x25B16213D
0x34 0010111|110110010011|00000100101110|110 0x2FB260976
0x35 0000110|110101011111|00111001110110|011 0x0DABE73B3
0x36 0010110|110101110010|00111000010111|100 0x2DAE470BC
0x37 0001010|110111100100|00001001000110|001 0x15BC81231
0x38 0100110|110111100011|00101001011010|010 0x4DBC652D2
0x39 1010001|111011111001|00000101010101|001 0xA3DF20AA9
0x3a 1010110|111011111100|00011110101110|100 0xADDF83D74
0x3b 1011111|111101101111|00011101101010|100 0xBFEDE3B54
0x3c 1011111|111101110001|00011110101011|101 0xBFEE23D5D
0x3d 1011111|111101110100|00011101100110|000 0xBFEE83B30
0x3e 1011101|111110001000|00010111000110|100 0xBBF102E34
0x3f 1010011|111110001111|00001111101110|000 0xA7F1E1F70
0x40 1010001|111110100001|00000010100110|100 0xA3F420534
0x41 1011011|000000001001|00001010100000|001 0xB60121501
0x42 1011111|000010000101|00011101001111|010 0xBE10A3A7A
0x43 1011100|000100100010|00001111000110|010 0xB82441E32
0x44 1011011|000101000010|00001110011000|000 0xB62841CC0
0x45 1011011|000101000010|00001110100001|101 0xB62841D0D
BX = 001 Event : 2
0x00 1111100|111001111001|00100101111100|000 0xF9CF24BE0
0x01 1111010|111010010010|00110001110110|100 0xF5D2463B4
0x02 0000011|111010110100|00110101001101|000 0x07D686A68
0x03 0000110|111011001000|00100010001001|010 0x0DD90444A
0x04 0001000|111011101011|00011011000000|010 0x11DD63602
0x05 1111100|111100101011|00100011111000|101 0xF9E5647C5
0x06 0000011|111101110100|00110101011100|000 0x07EE86AE0
0x07 0000011|111101110110|00110101100110|101 0x07EEC6B35
0x08 1111010|111110010111|00111000001010|001 0xF5F2E7051
0x09 0000011|000010100000|00110011110010|100 0x061406794
0x0a 1111010|000011100110|00111110000001|010 0xF41CC7C0A
0x0b 0000110|000100011010|00011110110011|000 0x0C2343D98
0x0c 0000111|000100110110|00011110001011|000 0x0E26C3C58
0x0d 0100110|000111000100|00100110111100|000 0x4C3884DE0
0x0e 0011101|000111001111|00100011001101|100 0x3A39E466C
0x0f 0011100|000111010001|00100010100001|001 0x383A24509
0x10 0011001|001011100011|00110101101111|011 0x325C66B7B
0x11 0010010|001011101001|00101010100011|011 0x245D2551B
0x12 0100011|001101001010|00111000101001|101 0x46694714D
0x13 0100001|001101001011|00111000100100|100 0x426967124
0x14 0011100|001101001111|00101110100010|000 0x3869E5D10
0x15 0001111|001101011000|00111000100100|100 0x1E6B07124
0x16 0101001|001111000001|00100110001011|110 0x527824C5E
0x17 1110010|001111100110|00110001100111|010 0xE47CC633A
0x18 0010101|010001000000|00000110101101|101 0x2A8800D6D
0x19 0100000|010011001010|00001101101100|000 0x409941B60
0x1a 1100100|010011100100|00011001001110|101 0xC89C83275
0x1b 1101010|010011110010|00011000111000|101 0xD49E431C5
0x1c 1101100|011001001010|00100011110101|001 0xD8C9447A9
0x1d 0101010|011011111110|00100110101001|001 0x54DFC4D49
0x1e 0010100|011100000111|00110001110001|010 0x28E0E638A
0x1f 1101101|011100010111|00101011100000|000 0xDAE2E5700
0x20 1101111|011100011000|00011010010110|100 0xDEE3034B4
0x21 1101011|011100011000|00101011011100|000 0xD6E3056E0
0x22 0010110|011111011001|00000111110100|000 0x2CFB20FA0
0x23 1101000|100011111000|00000110101000|010 0xD11F00D42
0x24 1101010|100011101000|00101110011000|000 0xD51D05CC0
0x25 1110110|100011101101|00101010010000|000 0xED1DA5480
0x26 1111101|100011101111|00100001110110|010 0xFB1DE43B2
0x27 1110101|100110111001|00011010110011|100 0xEB372359C
0x28 0000001|101010000101|00011011000001|010 0x0350A360A
0x29 0011010|101100110100|00000000101011|101 0x35668015D
0x2a 1100011|101110011110|00000010100001|100 0xC773C050C
0x2b 1110000|101110010000|00100100000111|000 0xE17204838
0x2c 1111000|110000011101|00100101111001|000 0xF183A4BC8
0x2d 1110101|110010010100|00100000010001|001 0xEB9284089
0x2e 1110100|110010010100|00100011000110|100 0xE99284634
0x2f 0001010|110100100110|00001110110100|100 0x15A4C1DA4
0x30 0100100|110100100100|00101111100011|011 0x49A485F1B
0x31 0000101|110101011101|00101101010010|010 0x0BABA5A92
0x32 0100011|110111100001|00111100110001|101 0x47BC2798D
