BX = 000 Event : 1
0x00 0000011|0000010|00110010001011100|00110111|1100101000|000100110  0x0182322E1BE5026
0x01 0000011|0000100|00110010100100100|00110111|1100101100|000100110  0x018432921BE5826
BX = 001 Event : 2
0x00 0000011|0000001|00100000110111100|10101000|1010101010|111000100  0x018120DE54555C4
BX = 010 Event : 3
0x00 0000011|0000000|00110010100010100|00001111|1101111000|000000111  0x0180328A07EF007
0x01 0000011|0000011|00110000011100110|00000000|1100111010|000000000  0x018330730067400
BX = 011 Event : 4
0x00 0000011|0000001|00111010000100110|11110001|1110110011|111110110  0x01813A1378F67F6
0x01 0000011|0000011|00011111011101000|11101001|1010011100|111110001  0x01831F7474D39F1
0x02 0000011|0000100|00100010001001100|11100110|1010110101|111101100  0x018422267356BEC
0x03 0000011|0001001|00101101100110100|10010000|1100001001|110110101  0x01892D9A48613B5
0x04 0000011|0001010|00101111110101100|10100101|1100010000|111000000  0x018A2FD652E21C0
0x05 0000011|0001100|00110101111110000|11011010|1101000110|111100010  0x018C35F86D68DE2
0x06 0000011|0001110|00111000101101100|11010110|1101100001|111011101  0x018E38B66B6C3DD
0x07 0000011|0010000|00111010001111010|00010011|1101101100|000011000  0x01903A3D09ED818
0x08 0000011|0010011|00110011101101010|00000011|1100101100|000000100  0x019333B501E5804
0x09 0000011|0010100|00110010000000010|11101011|1100011100|111100110  0x0194320175E39E6
0x0a 0000011|0011100|00111111011000100|11011011|1101111010|111011101  0x019C3F626DEF5DD
0x0b 0000011|0011110|00101101100010010|00000100|1011110001|000000101  0x019E2D89025E205
0x0c 0000011|0011111|00101001010100110|11110110|1011001000|111110100  0x019F29537B591F4
0x0d 0000011|0100000|00101101010011100|11110001|1011101110|111101111  0x01A02D4E78DDDEF
BX = 100 Event : 5
0x00 0000011|0000010|00111111111110000|10101010|1111011001|111001101  0x01823FF8557B3CD
0x01 0000011|0000100|00110011010000000|11010111|1101011010|111011000  0x018433406BEB5D8
0x02 0000011|0000101|00110010010001000|00100001|1101010011|000100000  0x0185324410EA620
0x03 0000011|0000110|00011111011001110|00001111|1010011111|000001011  0x01861F6707D3E0B
0x04 0000011|0000111|00100111010100110|10100100|1011001100|111001010  0x0187275352599CA
0x05 0000011|0001000|00111110011111110|11101000|1110001100|111100101  0x01883E7F74719E5
0x06 0000011|0001001|00111010010100100|10011110|1101011101|111000100  0x01893A524F6BBC4
0x07 0000011|0001110|00111100111110110|01000010|1101001011|000110000  0x018E3CFB2169630
0x08 0000011|0001111|00111000011001000|00110010|1100011101|000011011  0x018F38641963A1B
BX = 101 Event : 6
0x00 0000011|0000100|00100001100000010|01100001|1010100110|001001000  0x0184218130D4C48
BX = 110 Event : 7
0x00 0000011|0000000|00111101110100110|11101011|1111011110|111110001  0x01803DD375FBDF1
0x01 0000011|0000001|00110011011000110|11010111|1101110111|111011001  0x018133636BEEFD9
0x02 0000011|0000110|00110110111000100|11011010|1100010000|111100101  0x018636E26D621E5
0x03 0000011|0000111|00111110000001000|01101101|1101101000|001010011  0x01873E0436ED053
0x04 0000011|0001000|00101111110110100|01110000|1011010111|001010110  0x01882FDA385AE56
BX = 111 Event : 8
0x00 0000011|0000001|00101010111011100|01001001|1100011100|000110100  0x01812AEE24E3834
0x01 0000011|0000101|00110111010000000|11000101|1101111010|111011000  0x0185374062EF5D8
0x02 0000011|0000110|00110101011111010|11000100|1101101011|111010111  0x0186357D626D7D7
0x03 0000011|0000111|00110000110100000|11000001|1100111011|111010011  0x018730D060E77D3
0x04 0000011|0001000|00110000100100000|11000001|1100111001|111010011  0x0188309060E73D3
BX = 000 Event : 9
0x00 0000011|0000010|00111110011100100|00100010|1111001100|000010111  0x01823E721179817
0x01 0000011|0000011|00101101011111010|10000010|1101000100|110011101  0x01832D7D416899D
0x02 0000011|0000100|00110100000011100|10100101|1101111001|111000001  0x0184340E52EF3C1
0x03 0000011|0000101|00111111110111010|10000010|1111111011|110011101  0x01853FDD417F79D
0x04 0000011|0010001|00101111111010110|00101101|1100110011|000100111  0x01912FEB16E6627
0x05 0000011|0010010|00101111111010110|00101100|1100110011|000100110  0x01922FEB1666626
0x06 0000011|0010100|00100010011010010|10110100|1011001010|111010100  0x019422695A595D4
0x07 0000011|0010101|00111100111100000|10110101|1110011000|111010101  0x01953CF05AF31D5
0x08 0000011|0010110|00100110000100010|10100010|1010110100|110111101  0x0196261151569BD
0x09 0000011|0010111|00101000101101100|10010110|1011001110|110101110  0x019728B64B59DAE
