BX = 000 Event : 1
0x00 0110101|0001000 0x1A88
BX = 001 Event : 2
0x00 0110011|0000000 0x1980
0x01 0111000|0000000 0x1C00
0x02 0111000|0000101 0x1C05
0x03 0111011|0000101 0x1D85
BX = 010 Event : 3
0x00 0000010|0000001 0x0101
0x01 0000010|0000010 0x0102
0x02 0001110|0100000 0x0720
0x03 0011011|0000001 0x0D81
0x04 0011011|0000010 0x0D82
0x05 0011100|0000001 0x0E01
0x06 0011101|0000001 0x0E81
BX = 011 Event : 4
0x00 0110011|0000011 0x1983
0x01 0110011|1001110 0x19CE
0x02 0110101|0000011 0x1A83
0x03 0110101|1001110 0x1ACE
0x04 0110101|1001111 0x1ACF
0x05 0110101|1010000 0x1AD0
0x06 0110101|1010001 0x1AD1
0x07 0110111|0000011 0x1B83
BX = 100 Event : 5
0x00 0011100|0101111 0x0E2F
0x01 0011100|0110000 0x0E30
0x02 0011100|0110001 0x0E31
0x03 0011101|0101111 0x0EAF
0x04 0101110|0101111 0x172F
0x05 0101111|0110000 0x17B0
0x06 0101111|0110001 0x17B1
BX = 101 Event : 6
0x00 0000110|0011010 0x031A
0x01 0101110|0000011 0x1703
BX = 110 Event : 7
0x00 0000011|0000010 0x0182
0x01 0000011|0000101 0x0185
0x02 0001011|0011000 0x0598
0x03 0010111|0011000 0x0B98
0x04 0100000|0100110 0x1026
0x05 0100101|0110111 0x12B7
0x06 0101001|0000101 0x1485
0x07 0110000|0100110 0x1826
BX = 111 Event : 8
0x00 0100110|0001001 0x1309
0x01 0100110|0001101 0x130D
BX = 000 Event : 9
0x00 0001100|0000100 0x0604
0x01 0001100|0000101 0x0605
0x02 0011010|0001101 0x0D0D
0x03 0011100|0001101 0x0E0D
0x04 0110111|0101000 0x1BA8
0x05 1000101|0111010 0x22BA
0x06 1000111|0111010 0x23BA
0x07 1010101|0000100 0x2A84
0x08 1010101|0000101 0x2A85
0x09 1011000|0000100 0x2C04
0x0a 1011001|0000100 0x2C84
0x0b 1100001|0101000 0x30A8
0x0c 1100101|0111010 0x32BA
BX = 001 Event : 10
BX = 010 Event : 11
0x00 0000001|0000011 0x0083
0x01 0000011|0000101 0x0185
0x02 0011101|0000101 0x0E85
BX = 011 Event : 12
0x00 0010001|0011001 0x0899
BX = 100 Event : 13
0x00 0100001|0100000 0x10A0
BX = 101 Event : 14
0x00 0000011|0000101 0x0185
0x01 0000100|0000101 0x0205
0x02 0101010|0100000 0x1520
0x03 0101010|0100001 0x1521
0x04 0101101|0100110 0x16A6
0x05 0101101|0000001 0x1681
0x06 0101101|0000010 0x1682
0x07 0110011|0100000 0x19A0
0x08 0110011|0100001 0x19A1
0x09 0111011|0100110 0x1DA6
0x0a 0111011|0000001 0x1D81
0x0b 0111011|0000010 0x1D82
BX = 110 Event : 15
0x00 0001101|0010110 0x0696
BX = 111 Event : 16
0x00 0000001|0000110 0x0086
0x01 0110010|0000110 0x1906
0x02 0110100|0000110 0x1A06
0x03 0110110|0000110 0x1B06
BX = 000 Event : 17
0x00 0000000|0100110 0x0026
0x01 0000000|0100111 0x0027
0x02 0100101|0100110 0x12A6
0x03 0100101|0100111 0x12A7
0x04 0100110|0100110 0x1326
0x05 0100110|0100111 0x1327
0x06 0110001|0100110 0x18A6
BX = 001 Event : 18
0x00 0010000|0001001 0x0809
0x01 0010010|0001001 0x0909
0x02 0101110|0000001 0x1701
BX = 010 Event : 19
