BX = 000 Event : 1
0x06 0100111|0001010 0x138A
0x07 0101000|0001010 0x140A
BX = 100 Event : 37
0x00 0000111|0011001 0x0399
0x01 0000111|0011010 0x039A
0x02 0001010|0011011 0x051B
0x03 0001010|0011100 0x051C
0x04 0001010|0011101 0x051D
0x05 0011010|0011011 0x0D1B
0x06 0011010|0011101 0x0D1D
0x07 0110010|0101110 0x192E
BX = 101 Event : 38
0x00 0000011|0000110 0x0186
0x01 0100101|0100110 0x12A6
0x02 0100101|0100111 0x12A7
0x03 0101101|0000110 0x1686
0x04 0101110|0000110 0x1706
0x05 0110011|0101101 0x19AD
BX = 110 Event : 39
BX = 111 Event : 40
0x00 0001100|0001001 0x0609
0x01 0011100|0010101 0x0E15
0x02 0011101|0010101 0x0E95
0x03 0101001|0000000 0x1480
0x04 0101010|0010101 0x1515
BX = 000 Event : 41
0x00 0010100|0010100 0x0A14
0x01 0010110|0010100 0x0B14
0x02 0110010|0000001 0x1901
BX = 001 Event : 42
0x00 0000001|0000111 0x0087
0x01 0000001|0001001 0x0089
0x02 0000010|0001001 0x0109
0x03 0101010|0000111 0x1507
0x04 0101010|0001001 0x1509
0x05 0101011|0001001 0x1589
0x06 0101101|0000111 0x1687
0x07 0101101|0001001 0x1689
BX = 010 Event : 43
0x00 0010000|0100000 0x0820
BX = 011 Event : 44
0x00 0110001|0000010 0x1882
0x01 0110001|0000011 0x1883
BX = 100 Event : 45
0x00 0000011|0001010 0x018A
0x01 0000100|0001010 0x020A
0x02 0000101|0001010 0x028A
0x03 0001001|0001010 0x048A
0x04 0001010|0001010 0x050A
0x05 0010100|0100101 0x0A25
0x06 0100001|0100101 0x10A5
0x07 0101000|0110111 0x1437
0x08 1000010|1001000 0x2148
0x09 1001101|0001010 0x268A
0x0a 1010000|0001010 0x280A
0x0b 1010001|0001010 0x288A
0x0c 1010010|0001010 0x290A
BX = 101 Event : 46
0x00 0000000|0000000 0x0000
0x01 0000000|0000001 0x0001
0x02 0000000|0000010 0x0002
0x03 0000001|0000000 0x0080
0x04 0000001|0000001 0x0081
0x05 0000001|0000010 0x0082
BX = 110 Event : 47
0x00 0001111|0010010 0x0792
