BX = 000 Event : 1
BX = 001 Event : 2
0x00 0000001|0000011|00100111110011|001101101111|0000011001|000110100  0x01064F99B783234
0x01 0000001|0000100|00101010100000|001101011011|0000100011|000110010  0x01085501AD84632
0x02 0000001|0000101|00111000000101|010110100011|1111000100|110101100  0x010A702AD1F89AC
0x03 0000001|0000110|00111000011111|010110011000|1111000010|110101101  0x010C70FACC785AD
BX = 010 Event : 3
0x00 0000001|0000000|00111100011010|010101010111|0001010010|001001110  0x010078D2AB8A44E
BX = 011 Event : 4
0x00 0000001|0000101|00110101101010|011101001101|0000100011|001101101  0x010A6B53A68466D
0x01 0000001|0010011|00100010111001|011001010011|1111101100|001010110  0x012645CB29FD856
0x02 0000001|0010100|00100101100101|011001010010|1111110100|001010110  0x01284B2B297E856
0x03 0000001|0011111|00110101011010|001100111000|1111100110|111010100  0x013E6AD19C7CDD4
BX = 100 Event : 5
0x00 0000001|0000000|00110010000011|010110000011|1111000110|110101101  0x0100641AC1F8DAD
BX = 101 Event : 6
0x00 0000001|0000000|00111011111110|010011000011|0000110110|001000010  0x010077F26186C42
0x01 0000001|0000001|00110110101100|010011001000|0000100010|001000010  0x01026D626404442
0x02 0000001|0000010|00110110111100|010010111100|0000100011|001000001  0x01046DE25E04641
0x03 0000001|0000011|00100111001110|001111011011|1111101100|000110110  0x01064E71EDFD836
0x04 0000001|0000100|00101001101001|001100100001|0000000001|000110001  0x010853499080231
0x05 0000001|0000101|00101100010101|001011101110|0000001100|000101011  0x010A58A9770182B
0x06 0000001|0000110|00110101111100|010011000111|0000100000|001000010  0x010C6BE26384042
0x07 0000001|0000111|00110110001101|010010111010|0000100000|001000001  0x010E6C6A5D04041
0x08 0000001|0001000|00100111110100|001111011000|1111101111|000110110  0x01104FA1EC7DE36
BX = 110 Event : 7
0x00 0000001|0000011|00100101110010|001100100110|1111001010|111010000  0x01064B9193795D0
BX = 111 Event : 8
0x00 0000001|0000111|00110110011011|001101101111|0000011010|000110010  0x010E6CD9B783432
0x01 0000001|0001000|00110110011111|001101101000|0000011011|000110001  0x01106CF9B403631
0x02 0000001|0001001|00110100001110|001101100010|0000010011|000110001  0x01126871B102631
0x03 0000001|0001010|00111001000010|001101010010|0000101011|000101100  0x01147211A90562C
0x04 0000001|0001011|00110110110101|001101000111|0000100100|000101011  0x01166DA9A38482B
BX = 000 Event : 9
0x00 0000001|0010000|00111011001101|001110100111|1111010110|111001011  0x01207669D3FADCB
BX = 001 Event : 10
0x00 0000001|0000100|00111100101110|010001011010|1111001000|111000000  0x010879722D791C0
0x01 0000001|0001000|00111100011001|010001011010|1111001010|111000000  0x011078CA2D795C0
BX = 010 Event : 11
0x00 0000001|0000000|00110001000001|010010010001|0000111000|000111101  0x0100620A488703D
0x01 0000001|0000010|00111001111010|001100001011|1111010000|111010110  0x010473D185FA1D6
BX = 011 Event : 12
0x00 0000001|0000000|00110100010011|010110001010|0001000101|001010111  0x0100689AC508A57
BX = 100 Event : 13
0x00 0000001|0000001|00110101000111|010000010100|1111011010|111001000  0x01026A3A0A7B5C8
BX = 101 Event : 14
0x00 0000001|0000011|00111111101011|011101100000|1111000010|110011101  0x01067F5BB07859D
0x01 0000001|0001111|00101001111010|011011000100|1111111000|001100100  0x011E53D3627F064
BX = 110 Event : 15
BX = 111 Event : 16
BX = 000 Event : 17
0x00 0000001|0000000|00101010000010|001101111100|1110111011|111001001  0x01005411BE777C9
BX = 001 Event : 18
0x00 0000001|0000000|00110110101101|010000101100|0000011111|000111010  0x01006D6A1603E3A
0x01 0000001|0000001|00110001011000|001010101100|1111101001|111011000  0x010262C1567D3D8
BX = 010 Event : 19
0x00 0000001|0000000|00110011011010|010011110011|0000110110|001000110  0x010066D27986C46
BX = 011 Event : 20
0x00 0000001|0000000|00100110010000|001100110110|1111100000|111010011  0x01004C819B7C1D3
0x01 0000001|0000010|00111001101010|011100110100|1111001011|110001011  0x010473539A7978B
0x02 0000001|0000011|00110010101101|010110110101|0000011000|001001111  0x0106656ADA8304F
BX = 100 Event : 21
0x00 0000001|0000010|00111000011101|011010011101|0000011110|001011011  0x010470EB4E83C5B
0x01 0000001|0000100|00111010111100|011010100110|0000100101|001011100  0x010875E35304A5C
0x02 0000001|0000101|00100100010000|011011011000|1111100110|001100000  0x010A48836C7CC60
0x03 0000001|0000110|00100110011000|011011011100|1111101100|001100001  0x010C4CC36E7D861
BX = 101 Event : 22
0x00 0000001|0000110|00110001111100|001100001101|1111010011|111010000  0x010C63E186FA7D0
0x01 0000001|0010111|00100111110010|010101000000|0000000110|110101111  0x012E4F92A000DAF
BX = 110 Event : 23
0x00 0000001|0000010|00110001001011|010100000101|0000100111|001000010  0x0104625A8284E42
0x01 0000001|0001010|00101110101010|001010111110|1111001111|111010100  0x01145D515F79FD4
BX = 111 Event : 24
BX = 000 Event : 25
0x00 0000001|0000000|00110011011011|010100000111|0001001011|001001011  0x010066DA838964B
0x01 0000001|0010100|00111110110011|010100100001|1111010101|110110111  0x01287D9A90FABB7
BX = 001 Event : 26
0x00 0000001|0000000|00110001101000|010001100111|0001000001|001000000  0x010063423388240
