BX = 000 Event : 1
0x00 0000000|0111000 0x0038
0x01 0000001|0000000 0x0080
0x02 1000110|0111000 0x2338
0x03 1000111|0111000 0x23B8
BX = 001 Event : 2
0x00 0001011|0010100 0x0594
0x01 0001100|0010100 0x0614
0x02 0001101|0010100 0x0694
0x03 0010111|0010100 0x0B94
BX = 010 Event : 3
0x00 0100111|0101101 0x13AD
0x01 0100111|0101110 0x13AE
0x02 0100111|0110001 0x13B1
BX = 011 Event : 4
0x00 0001010|0011111 0x051F
0x01 0001011|0101011 0x05AB
0x02 0001011|0101110 0x05AE
0x03 0001100|0101011 0x062B
0x04 0001100|0101100 0x062C
0x05 0010111|0101110 0x0BAE
0x06 0110110|0000010 0x1B02
0x07 0110110|0000100 0x1B04
0x08 0110110|0001100 0x1B0C
0x09 0110110|0001110 0x1B0E
0x0a 0110110|0001111 0x1B0F
0x0b 0111000|0001011 0x1C0B
0x0c 0111000|0001100 0x1C0C
0x0d 0111000|0001110 0x1C0E
0x0e 0111000|0001111 0x1C0F
BX = 100 Event : 5
0x00 0000010|0000100 0x0104
0x01 0000010|0001011 0x010B
0x02 0000010|0001101 0x010D
0x03 0100101|0000100 0x1284
0x04 0100101|0001011 0x128B
0x05 0100101|0001101 0x128D
0x06 0100110|0001101 0x130D
0x07 0100111|0000100 0x1384
0x08 0100111|0001011 0x138B
0x09 0100111|0001101 0x138D
0x0a 0101000|0000100 0x1404
0x0b 0101000|0001011 0x140B
0x0c 0101000|0001101 0x140D
0x0d 0101001|0000100 0x1484
0x0e 0101001|0001101 0x148D
BX = 101 Event : 6
0x00 0000011|0010001 0x0191
BX = 110 Event : 7
0x00 0000100|0000100 0x0204
0x01 0101010|0000100 0x1504
BX = 111 Event : 8
0x00 0000010|0001000 0x0108
BX = 000 Event : 9
0x00 0001011|0000111 0x0587
0x01 0001101|0000111 0x0687
0x02 0001111|0001110 0x078E
0x03 1001000|0111100 0x243C
0x04 1001001|0111100 0x24BC
0x05 1001010|0111100 0x253C
0x06 1001011|0111100 0x25BC
0x07 1001100|0111100 0x263C
0x08 1011011|0000111 0x2D87
0x09 1100110|0111100 0x333C
0x0a 1100111|0111100 0x33BC
BX = 001 Event : 10
0x00 0011000|0000000 0x0C00
0x01 0011011|0000010 0x0D82
BX = 010 Event : 11
BX = 011 Event : 12
BX = 100 Event : 13
0x00 0000110|0000110 0x0306
BX = 101 Event : 14
0x00 0101110|0100101 0x1725
0x01 0101110|0000000 0x1700
0x02 0101110|0101000 0x1728
0x03 0110111|0100101 0x1BA5
0x04 0110111|0101000 0x1BA8
0x05 0111000|0100101 0x1C25
0x06 0111000|0000000 0x1C00
0x07 0111000|0101000 0x1C28
0x08 0111100|0100101 0x1E25
0x09 0111100|0000000 0x1E00
0x0a 0111100|0101000 0x1E28
BX = 110 Event : 15
BX = 111 Event : 16
0x00 0110000|0000000 0x1800
0x01 0110000|0000001 0x1801
0x02 0110000|0000010 0x1802
0x03 0110000|0000011 0x1803
0x04 0110001|0000001 0x1881
0x05 0110001|0000010 0x1882
0x06 0110011|0000001 0x1981
0x07 0110011|0000010 0x1982
0x08 0110101|0000000 0x1A80
0x09 0110101|0000001 0x1A81
0x0a 0110101|0000011 0x1A83
BX = 000 Event : 17
0x00 0000110|0000000 0x0300
BX = 001 Event : 18
BX = 010 Event : 19
0x00 0001010|0010010 0x0512
0x01 0001010|0010011 0x0513
BX = 011 Event : 20
0x00 0100111|0101010 0x13AA
BX = 100 Event : 21
BX = 101 Event : 22
0x00 0010000|0011111 0x081F
0x01 0010101|0000010 0x0A82
0x02 0011000|0000010 0x0C02
0x03 0011011|0001110 0x0D8E
0x04 0011100|0100011 0x0E23
0x05 0100000|0101011 0x102B
0x06 0100000|0101101 0x102D
0x07 0100001|0101011 0x10AB
0x08 0100001|0101101 0x10AD
0x09 0100010|0101011 0x112B
0x0a 0100010|0101101 0x112D
0x0b 0100011|0101011 0x11AB
0x0c 0100011|0101101 0x11AD
0x0d 0100011|0000001 0x1181
0x0e 0100011|0000010 0x1182
BX = 110 Event : 23
0x00 0001010|0011110 0x051E
0x01 0010001|0011110 0x089E
0x02 0100101|0000111 0x1287
0x03 0100101|0001110 0x128E
0x04 0100110|0000111 0x1307
0x05 0100110|0001110 0x130E
0x06 0101100|0110000 0x1630
0x07 0101101|0110000 0x16B0
BX = 111 Event : 24
0x00 0110011|1000001 0x19C1
0x01 0111100|0101010 0x1E2A
BX = 000 Event : 25
0x00 0111010|0000001 0x1D01
0x01 0111010|1000110 0x1D46
BX = 001 Event : 26
BX = 010 Event : 27
0x00 0011111|0011011 0x0F9B
0x01 0101110|0011000 0x1718
0x02 0110000|0011011 0x181B
BX = 011 Event : 28
0x00 0001000|0000111 0x0407
BX = 100 Event : 29
0x00 0000011|0000101 0x0185
0x01 0010111|0100001 0x0BA1
0x02 0100011|0000101 0x1185
0x03 0100100|0000101 0x1205
0x04 0100110|0000101 0x1305
0x05 0101010|0101010 0x152A
BX = 101 Event : 30
0x00 0100001|0000011 0x1083
0x01 0100011|0000011 0x1183
0x02 0100011|0000111 0x1187
BX = 110 Event : 31
BX = 111 Event : 32
BX = 000 Event : 33
0x00 0100010|0011111 0x111F
0x01 0100011|0011111 0x119F
BX = 001 Event : 34
0x00 0000111|0001000 0x0388
0x01 0000111|0001010 0x038A
0x02 0001010|0011110 0x051E
0x03 0100100|0000001 0x1201
BX = 010 Event : 35
0x00 0000011|0001010 0x018A
0x01 0000011|0001110 0x018E
0x02 0000011|0010100 0x0194
0x03 0001011|0010100 0x0594
0x04 0110101|0001110 0x1A8E
0x05 0110101|0010100 0x1A94
BX = 011 Event : 36
BX = 100 Event : 37
0x00 0000010|0000111 0x0107
0x01 0000010|0001110 0x010E
0x02 0000011|0001110 0x018E
0x03 0100111|0001110 0x138E
BX = 101 Event : 38
BX = 110 Event : 39
0x00 0101011|0000010 0x1582
0x01 0101100|0000010 0x1602
